Unnamed: 0,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsMean
0,52.0,No,Travel_Rarely,593,Research & Development,9,4,Medical,2,Male,88,3,3,Research Director,3,Single,8446.0,13782,9,No,17,3.0,3,0,20,2.0,2,8.0,7.333333333333333
1,36.0,No,Travel_Rarely,1218,Research & Development,1,1,Life Sciences,2,Male,52,3,5,Manager,3,Divorced,4834.0,8213,1,Yes,14,3.0,3,1,21,3.0,3,1.0,5
2,35.906122448979595,No,Travel_Frequently,530,Sales,16,3,Life Sciences,3,Male,36,3,2,Sales Executive,4,Divorced,4768.0,16130,1,Yes,25,3.0,3,1,7,4.0,3,1.0,2.6666666666666665
3,33.0,No,Travel_Rarely,953,Research & Development,5,4,Technical Degree,2,Male,65,3,1,Research Scientist,2,Single,2799.0,17674,2,No,14,3.0,2,0,12,1.0,3,3.0,4.666666666666667
4,37.2520325203252,No,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,3,Female,75,3,1,Laboratory Technician,4,Single,7978.0,6319,1,No,12,3.0,3,0,2,2.0,3,10.0,1.6666666666666667
5,35.0,No,Travel_Rarely,693,Research & Development,7,3,Life Sciences,4,Male,57,4,1,Research Scientist,3,Divorced,2269.0,15748,1,No,11,3.0,4,3,4,2.0,3,1.0,1.6666666666666667
6,27.0,No,Travel_Rarely,1401,Sales,4,2,Life Sciences,3,Male,56,3,1,Sales Representative,2,Married,8726.0,20990,2,No,11,3.0,1,1,6,0.0,3,9.0,2
7,37.0,No,Travel_Rarely,326,Sales,8,2,Life Sciences,1,Female,31,3,3,Sales Executive,4,Divorced,5731.0,8386,1,No,18,3.0,1,1,13,2.0,3,6.0,8.333333333333334
8,42.0,No,Travel_Rarely,145,Sales,1,3,Life Sciences,4,Male,95,3,2,Sales Executive,3,Married,5410.0,24920,0,No,12,3.0,1,1,19,3.0,3,4.0,6.666666666666667
9,23.0,No,Travel_Frequently,1410,Sales,3,1,Medical,4,Male,71,4,2,Sales Executive,4,Divorced,1790.0,16673,1,Yes,20,3.0,2,2,6,2.0,3,1.0,3
10,20.0,No,Travel_Frequently,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2323.0,19715,1,No,13,3.0,4,1,1,3.0,3,2.0,0
11,32.368,No,Travel_Rarely,916,Research & Development,17,2,Life Sciences,4,Male,82,4,2,Research Scientist,1,Single,3375.0,23016,3,Yes,13,3.0,3,0,10,2.0,3,3.0,1.3333333333333333
12,52.0,No,Travel_Rarely,194,Research & Development,9,3,Life Sciences,2,Male,60,3,2,Laboratory Technician,2,Divorced,9474.52564102564,10901,8,No,18,3.0,3,1,20,3.0,1,34.0,8
13,30.0,Yes,Travel_Rarely,1093,Sales,9,3,Life Sciences,3,Male,82,1,4,Sales Executive,3,Married,2693.0,24164,7,No,11,3.0,3,0,25,2.0,1,1.0,9.666666666666666
14,35.0,No,Travel_Rarely,933,Research & Development,29,3,Life Sciences,2,Male,98,3,2,Manufacturing Director,2,Married,2690.0,11806,1,No,13,3.0,4,1,10,5.0,2,1.0,7.666666666666667
15,28.0,No,Travel_Rarely,1465,Research & Development,1,3,Medical,4,Male,63,3,1,Research Scientist,2,Married,3310.0,9369,0,Yes,21,4.0,1,1,12,3.0,3,5.0,7
16,39.0,No,Travel_Rarely,1354,Research & Development,5,3,Medical,3,Male,45,2,3,Manager,1,Single,3069.0,5615,2,No,12,3.0,4,0,14,3.0,3,10.0,7.666666666666667
17,59.0,No,Travel_Rarely,849,Sales,26,2,Life Sciences,2,Female,98,2,2,Sales Executive,2,Single,13726.0,25166,8,No,15,3.0,3,0,6,4.0,3,5.0,2
18,34.0,No,Travel_Rarely,571,Research & Development,12,2,Other,4,Male,78,3,1,Laboratory Technician,4,Single,2008.0,13672,1,No,13,3.0,3,0,5,2.0,4,1.0,2.3333333333333335
19,35.0,No,Travel_Rarely,1333,Research & Development,1,3,Technical Degree,4,Male,80,3,3,Research Director,1,Married,9474.52564102564,16292,1,No,13,3.0,2,1,15,3.0,3,13.0,9.333333333333334
20,37.0,No,Travel_Rarely,625,Research & Development,4,3,Medical,4,Female,50,3,2,Healthcare Representative,2,Single,3452.0,5197,9,No,12,4.0,4,0,10,3.0,2,5.0,2.3333333333333335
21,38.0,No,Travel_Rarely,1242,Sales,8,4,Life Sciences,1,Female,46,3,2,Sales Executive,1,Married,6516.717073170733,10589,2,No,13,3.0,4,1,8,3.0,1,7.0,2
22,51.0,No,Travel_Rarely,1154,Sales,2,2,Life Sciences,1,Male,54,3,1,Sales Representative,3,Married,6020.0,6393,0,No,19,4.0,3,1,3,4.0,3,4.0,1.6666666666666667
23,35.906122448979595,No,Travel_Rarely,119,Sales,3,3,Life Sciences,1,Male,76,3,3,Sales Executive,3,Divorced,5003.0,9647,0,No,12,4.0,3,2,17,6.0,2,10.0,9.333333333333334
24,36.0,No,Non-Travel,1144,Sales,10,1,Medical,4,Male,74,3,1,Sales Representative,2,Married,9980.0,23384,1,No,22,3.0,2,0,1,3.0,3,10.0,0
25,31.0,No,Travel_Rarely,309,Human Resources,2,3,Human Resources,3,Female,82,3,1,Human Resources,2,Married,3978.0,19655,4,No,14,3.0,3,0,6,0.0,3,2.0,1
26,43.03474903474904,No,Travel_Rarely,1434,Sales,8,4,Life Sciences,1,Male,76,2,3,Sales Executive,1,Single,9474.52564102564,14229,1,No,15,3.0,2,0,10,2.0,3,22.0,5.333333333333333
27,38.0,No,Travel_Frequently,285,Research & Development,29,3,Medical,2,Female,86,3,2,Laboratory Technician,3,Married,6516.717073170733,17491,4,No,13,3.0,1,2,10,4.0,3,6.0,7
28,32.368,No,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,Female,69,3,1,Research Scientist,4,Married,3038.0,9655,3,No,21,3.0,4,2,8,3.0,2,1.0,1.3333333333333333
29,40.0,No,Travel_Rarely,452,Research & Development,1,3,Medical,4,Male,81,3,5,Manager,1,Single,10475.0,18938,0,Yes,14,3.0,3,0,37,2.0,3,18.0,9
30,33.0,No,Travel_Rarely,1219,Sales,18,3,Medical,3,Male,86,3,2,Sales Executive,3,Married,7104.0,6179,1,No,16,3.0,2,0,5,2.0,3,5.0,1
31,43.03474903474904,No,Travel_Rarely,1272,Research & Development,5,3,Technical Degree,3,Male,37,2,3,Healthcare Representative,2,Divorced,9610.0,9255,2,Yes,13,3.0,4,1,24,2.0,3,4.0,1.3333333333333333
32,36.0,Yes,Travel_Rarely,1141,Research & Development,11,2,Medical,1,Male,61,1,2,Healthcare Representative,2,Married,4678.0,14382,5,No,15,3.0,1,0,15,2.0,1,6.0,0
